doctor_name,designation,department,profile_url
Dr. Ashok Kumar Agarwal,Professor Emeritus,Internal Medicine,https://www.shardahospital.org/doctor/dr-ashok-kumar-aggarwal
Dr. Ram Murti Sharma,Medical Superintendent,Institute of Critical Care,https://www.shardahospital.org/doctor/dr-ram-murti-sharma
Dr. Nirupma Gupta Dean,,,https://www.shardahospital.org/doctor/dr.-nirupma-gupta
Dr. Pankaj Bansal,Professor,Internal Medicine,https://www.shardahospital.org/doctor/dr-pankaj-bansal
Dr. Abhinit Kumar,Professor,Department of Psychiatry,https://www.shardahospital.org/doctor/dr-abhinit-kumar
Dr. Rajni Ranjan,HOD,Orthopaedics,https://www.shardahospital.org/doctor/dr-rajni-ranjan
Dr. Anshu Gupta,Professor,,https://www.shardahospital.org/doctor/dr-anshu-gupta
Dr. R.K Thapar,Professor and HOD,Pediatrics,https://www.shardahospital.org/doctor/dr-r-k-thapar
Dr. Vikram Singh Chauhan,Professor and HOD,,https://www.shardahospital.org/doctor/dr-vikram-singh-chauhan
Dr. Subhendu Mohanty,Head & Senior Consultant,Department of Cardiology,https://www.shardahospital.org/doctor/dr-subhendu-mohanty
Dr. Vishal Gupta,Professor and HOD,ENT,https://www.shardahospital.org/doctor/dr-vishal-gupta
Dr. Ankit,Consultant,ENT,https://www.shardahospital.org/doctor/dr.-ankit
Dr. Shalini Srivastava,Professor and HOD,,https://www.shardahospital.org/doctor/dr.-shalini-srivastava
Dr. Mayuri Ahuja,Assistant Professor,Gynaecology,https://www.shardahospital.org/doctor/dr-mayuri-ahuja
Dr. Khemendra Kumar Senior,Consultant,ENT,https://www.shardahospital.org/doctor/dr-khemendra-kumar
Dr. Bheem Raj Gupta,Head & Senior Consultant,ENT,https://www.shardahospital.org/doctor/dr-bheem-raj-gupta
Dr. Shitij Goel,HOD,Dermatology,https://www.shardahospital.org/doctor/dr-shitij-goel
Dr. Showkat Nazir Wani,Consultant,,https://www.shardahospital.org/doctor/dr-showkat-nazir-wani
Dr. Nishit Palo,Associate Professor,,https://www.shardahospital.org/doctor/dr-nishit-palo
Dr. Ravindra Srivastava Senior,Consultant,,https://www.shardahospital.org/doctor/dr-ravindra-srivastava
Dr. Tarun Singh,Consultant,,https://www.shardahospital.org/doctor/dr-tarun-singh
Dr. Shubhi Tyagi,Consultant,ENT,https://www.shardahospital.org/doctor/dr-shubhi-tyagi
Dr. Manoj Kumar NandKeoliar,Professor,,https://www.shardahospital.org/doctor/dr-manoj-kumar-nandkeoliar
Dr. Rohit Saxena,Professor and HOD,ENT,https://www.shardahospital.org/doctor/dr-rohit-saxena
Dr. Devendra Kumar,Professor and HOD,,https://www.shardahospital.org/doctor/dr-devendra-kumar
Dr. Mohan Bandhu Gupta,Professor,,https://www.shardahospital.org/doctor/dr-mohan-bandhu-gupta
Dr. Megha Ranjan,Associate Professor,Gynaecology,https://www.shardahospital.org/doctor/dr-megha-ranjan
Dr. Shelly Agarwal,Professor,Gynaecology,https://www.shardahospital.org/doctor/dr-shelly-agarwal
Dr. Samta Gupta,Professor,Gynaecology,https://www.shardahospital.org/doctor/dr-samta-gupta
Dr. Archana Mehta,Professor and HOD,Gynaecology,https://www.shardahospital.org/doctor/dr-archana-mehta
Dr. Kunal Kumar,Professor and HOD,Department of Psychiatry,https://www.shardahospital.org/doctor/dr-kunal-kumar
Dr. Neerja Goel Senior,Consultant,Gynaecology,https://www.shardahospital.org/doctor/dr-neerja-goel
Dr. Rahul Kaul,Associate Professor,Orthopaedics,https://www.shardahospital.org/doctor/dr-rahul-kaul
Dr. Rakesh Kumar,Professor,Orthopaedics,https://www.shardahospital.org/doctor/dr-rakesh-kumar
Dr. Anurag Prasad,Professor,Internal Medicine,https://www.shardahospital.org/doctor/dr-anurag-prasad
Dr. Vivek Kumar Pathak,Associate Professor,ENT,https://www.shardahospital.org/doctor/dr-vivek-kumar-pathak
