doctor_name,designation,department,qualification,experience,language,specialization,description,profile_url
Dr. Ashok Kumar Agarwal,Professor Emeritus,Internal Medicine,"MD, MAMS, FICP, FRCP(Ed), FACP (USA), FIACM, FIMSA, FIAMS, FGSI",40+ years experience,"English ,Hindi A.K. Agarwal is a highly experienced doctor with a wealth of knowledge in the field of internal medicine. He has been working in the discipline for over four decades. He is currently associated with Sharda Hospital, Greater Noida, Uttar Pradesh as Emeritus Professor of Medicine.","About A.K. Agarwal is a highly experienced doctor with a wealth of knowledge in the field of internal medicine. He has been working in the discipline for over four decades. He is currently associated with Sharda Hospital, Greater Noida, Uttar Pradesh as Emeritus Professor of Medicine.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-ashok-kumar-aggarwal
Dr. Ram Murti Sharma,Medical Superintendent,Institute of Critical Care,"MD, DNB, MNAMS, PGDHCM",38+ Year,"Hindi Dr. Ram Murti Sharma is a highly experienced medical professional with a wealth of knowledge in Critical Care Medicine. Currently serving as the Medical Superintendent of Sharda Hospital and a Professor of Anesthesiology & Critical Care Medicine, he brings 34 years of valuable experience from his service with the Armed Forces Medical Services. Dr. Sharma has also served as an examiner for MD, DNB, and DM examinations. Additionally, he is a recognized teacher affiliated with Delhi University, MUSH Nashik, and RGUHS Bengaluru.","About Dr. Ram Murti Sharma is a highly experienced medical professional with a wealth of knowledge in Critical Care Medicine. Currently serving as the Medical Superintendent of Sharda Hospital and a Professor of Anesthesiology & Critical Care Medicine, he brings 34 years of valuable experience from his service with the Armed Forces Medical Services. Dr. Sharma has also served as an examiner for MD, DNB, and DM examinations. Additionally, he is a recognized teacher affiliated with Delhi University, MUSH Nashik, and RGUHS Bengaluru.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-ram-murti-sharma
Dr. Nirupma Gupta Dean,nan,nan,"MS(Anatomy)- Lady Hardinge Medical College, New Delhi, 1999 MBBS- Lady Hardinge Medical College, New Delhi, 1991",20+ years,"English ,Hindi Dr.Nirupma Gupta (MBBS, MS) An alumni of Lady Hardinge Medical College New Delhi is Professor & Head, Dept. of Anatomy, School of Medical Science & Research. A wonderful mentor with a teaching experience of more than 20 years in undergraduate and postgraduate programme. Besides, she has been actively engaged in Research activities for the past two decades. Dr.Nirupma is also Dean of Students Welfare at Sharda University since August 2016. She closely works with students across all departments exploring ways to enhance aspects of the entire students experience from education to student life. Sharda University truly believes in the all-round holistic development of its students and Dr.Nirupma has worked to accomplish it in true sense, by conducting various social and cultural activities and festivals.To entertain the students of different clubs under Sports and Cultural Society, Dr. Nirupma has always been a great helping hand a supporting pillar without whom it would have been impossible to organize the amazing Fests and events like Chorus, Ojasvat, Sharda Cup, Independence Day, Republic Day, Armed Forces Flag Day, Sharda Freshers Party, International Yoga Day, Sangam, and many more. These are the most awaited events of the year which bring a wave of exhilaration among the students. They are annually held to maintain a zestful attitude among the students towards co-curricular activities. Dr. Nirupma, is working with the students of Cultural Society to celebrate cross cultural festivals hosted by foreign and national students together as Sharda University has very large number of international students.",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr.-nirupma-gupta
Dr. Pankaj Bansal,Professor,Internal Medicine,"MD (General Medicine) from G.R. Medical College, Gwalior (M.P.) in 2004 MBBS from SP Medical College, Bikaner (Rajasthan), Rajasthan University in 2000. eMBA from Vinayaka Missions Univ, Salem in Hospital Administration, 2010 FISE (Fellowship) from Indian Society of Electrocardiology in 2012 FIACM (Fellowship) in Indian Association of Clinical Medicine in 2012 FIMSA (Fellowship) from International Medical Science Academy in 2012","Bharati Vidyapeeth Medical College & Hospital, Pune as a Asst. Professor from 2005 to 2006 Subharti Medical College & Hospital, Meerut as a Asst. Professor from 2006 to 2007 School of Medical Sciences & Research, Sharda University, Gr. Noida as a Asst. Professor from 2007 to 2010 School of Medical Sciences & Research, Sharda University, Gr. Noida as a Associate Professor from 2010 to 2013 School of Medical Sciences & Research, Sharda University, Gr. Noida as a Professor from 2013 to 2015 Max Multispeciality Hospital, Gr. Noida as a Senior Consultant from 16th May 2015","English ,Hindi","Awards & Achievements Gold Medal and Topper in Pathology & Microbiology BHARAT BHUSHAN Award in 2017 Editor-in-Chief in Journal of Medical Science & Research Associate Editor, Journal of Oral Health & Research Research & Publications More than 20 journals with different National and International journals. Specialization Diabetes, Cardiology, Diseases of Chest More Related Doctors Dr. Ashok Kumar Agarwal Professor Emeritus Book Appointment Dr. Anurag Prasad Professor Book Appointment View all Doctors Find A Doctor Contact Us Plot No. 32-34, Knowledge Park III, Greater Noida, Uttar Pradesh - 201310 +91-8447333999 info@shardahospital.org Quick Links","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-pankaj-bansal
Dr. Abhinit Kumar,Professor,Department of Psychiatry,"Qualification Year M.D. (Santosh Medical College & Hospital) 2014 DPM (Dr. D.Y. Patil Medical College, Pimpri, Pune) 2009 M.B.B.S( Rajiv Gandhi University of Health Sciences, Bangalore) 2004",Experience Number of Years Assistant Professor (School of Medical Sciences & Research 3 yr 5 months Senior Resident (Vardhman Mahavir Medical College) 2 yr 8 months Total Experience 5 yrs 1 month,"English ,Hindi Dr. Abhinit Kumar is designated as an Assistant Professor at Sharda Hospital. The amount of knowledge and insights he has",About Dr. Abhinit Kumar is designated as an Assistant Professor at Sharda Hospital. The amount of knowledge and insights he has,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-abhinit-kumar
Dr. Rajni Ranjan,HOD,Orthopaedics,"Qualification Year M.S. (Orthopedics-G.S.V.M Medical College) 2009 M.B.B.S(V.S.S Medical College, Orissa) 2004","Experience Number of Years Associate Professor (School of Medical Sciences & Research, Sharda Univ) 2 yrs 10 months Asst. Prof (School of Medical Sciences & Research, Sharda Univ) 4 yrs Senior Resident (School of Medical Sciences & Research, Sharda Univ) 1 Yr 3 months Total 8 Yrs 2 months","English Dr. Rajni Ranjan is working as Associate Professor with the School of Medical Sciences and Research, Sharda Hospital since August 2009. He completed his MBBS from VS Medical College, Orissa in 2004 and MS (Orthopaedics) from GSVM Medical college in 2009. After completing his studies, he joined Sharda Hospital as a Senior Resident and has been working here since then.",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-rajni-ranjan
Dr. Anshu Gupta,Professor,nan,MBBS MD,"Professor Dr Baba Saheb Ambedkar Medical College, New Delhi Jan2018-Jan 2021 3yrs Associate Professor &HOD Dr Baba Saheb Ambedkar Medical College, New Delhi April 2015 – Jan2018 2yrs,10m Professor Saraswathi institute of Medical Sciences, Hapur Oct2013 – Jan20 15 1year 3 m Associate Professor Saraswathi institute of Medical Sciences, Hapur. July 2011 – Sept.2013 2years +2m Associate Professor Rama Medical College & Hospital, Kanpur April 2010- May 2011 1year1 m Assistant Professor Rama Medical College & Hospital, Kanpur April 2009- Mar 2010 11 m Assistant Professor Kesar Sal Medical College & Hospital, Ahmedabad Jan 2005- Mar 2009 4 years and 2 m Senior Resident R.B.T.B. Hospital, King’s way camp. Delhi Apr 2003- July 2004 1year and 3 m MD Resident S.N. Medical College & Hospital, Agra Aug 1999- Aug 2002 3 Years","English ,Hindi Incharge - Histopathology section",About Incharge - Histopathology section,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-anshu-gupta
Dr. R.K Thapar,Professor and HOD,Pediatrics,MBBS MD (Pediatrics),30+ Years,"English Dr. R. K Thapar is a well-trained and dedicated medical professional with a specialization in the field of Pediatrics. He has a rich and long clinical experience of more than three decades to his credit. He has received long-term training in Neonatology from AIIMS. He has successfully treated numerous patients. He has been widely acknowledged for his versatile and patient-centric approach. Apart from having clinical experience, he also has more than 40 publications & few chapters in 2 books to his credit.","in the field of Pediatrics. He has a rich and long clinical experience of more than three decades to his credit. He has received long-term training in Neonatology from AIIMS. He has successfully treated numerous patients. He has been widely acknowledged for his versatile and patient-centric approach. Apart from having clinical experience, he also has more than 40 publications & few chapters in 2 books to his credit. Book Appointment","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-r-k-thapar
Dr. Vikram Singh Chauhan,Professor and HOD,nan,"Qualification Year M.B.B.S(R.N.T medical College) 1988 M.S. (Surgery,R.N.T medical College) 2002 Fellowship of Indian Association of Gastrointestinal Endosurgeons 2016",Total of 15 years Sharda for past 10 years,"English ,Hindi Dr. Vikram Singh Chauhan is titled and designated as Professor at Sharda Hospital. He has been working in the hospital since its inception. With over total experience of 15 years, Dr. Chauhan joined as Assistant Professor. Subsequently, he was promoted to the post of Professor.Apart from being a member of various surgical societies, his clinical interest is in breast, parotid and thyroid surgeries. Dr. Chauhan has published research papers in all key surgical papers and has presented journals and attended various conferences all over the world.","About Dr. Vikram Singh Chauhan is titled and designated as Professor at Sharda Hospital. He has been working in the hospital since its inception. With over total experience of 15 years, Dr. Chauhan joined as Assistant Professor. Subsequently, he was promoted to the post of Professor.Apart from being a member of various surgical societies, his clinical interest is in breast, parotid and thyroid surgeries. Dr. Chauhan has published research papers in all key surgical papers and has presented journals and attended various conferences all over the world. Memberships Member of ASI Member of IAGES Research & Publications Acute osteomyelitis associated with Deep vein thrombosis in a patient of acute abdomen: A diagnostic dilemma. Journal of Clinical Orthopedics and trauma 3 (2012) 112-114. Xanthogranulomatous Cholecystitis: Challenges in Management & Feasibility of Laparoscopic Surgery. Int J Med Res Health Sci. 2013; 2(2):212-216. Post pubertal cryptorchidism in developing countries: Fertility outcomes and challenges in management. Indian Journal of Public Health Research & Development: Year: 2015, Volume: 6, Issue: 2 Comparison of efficacy and tolerance of short- duration open-ended ureteral catheter drainage and Tamsulosin administration to indwelling double J stents following ureteroscopy removal of stones. Hong Kong Med J.2015 Apr;21(2):124-30. Jejunal Diverticular Perforation: An atypical presentation of Acute Abdomen: A retrospective analysis. International Journal of Contemporary Surgery, Jan-June 2017, Vol.5, No.1. Can persistent post-operative antibiotic prophylaxis 45 following elective laparoscopic cholecystectomy be 6 completely done away with in the Indian setting? A prospective randomised study. Journal of Minimal Access Surgery 2017. Specialization General and Basic Min. Access Surgery More Related Doctors View all Doctors Find A Doctor Contact Us Plot No. 32-34, Knowledge Park III, Greater Noida, Uttar Pradesh - 201310 +91-8447333999 info@shardahospital.org Quick Links","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-vikram-singh-chauhan
Dr. Subhendu Mohanty,Head & Senior Consultant,Department of Cardiology,"MBBS, MD-Internal Medicine, DM-Cardiology",22+ Years,"English ,Hindi Dr. Subhendu Mohanty of Sharda Hospital Greater Noida is one of the most renowned Cardiologists in Delhi, NCR. Dr. Subhendu Mohanty has almost 22 years of relevant professional experience. His area of interest lies in Cardiovascular Intervention and Imaging. Dr. Mohanty is a member of major medical societies and has published various articles in India and abroad. He is committed to raising health awareness and living a healthy lifestyle. His sensitive patient care and lifestyle advocacy have aided in the recovery of several people suffering from various diseases.","About Dr. Subhendu Mohanty of Sharda Hospital Greater Noida is one of the most renowned Cardiologists in Delhi, NCR. Dr. Subhendu Mohanty has almost 22 years of relevant professional experience. His area of interest lies in Cardiovascular Intervention and Imaging. Dr. Mohanty is a member of major medical societies and has published various articles in India and abroad. He is committed to raising health awareness and living a healthy lifestyle. His sensitive patient care and lifestyle advocacy have aided in the recovery of several people suffering from various diseases.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-subhendu-mohanty
