speciality,url
ENT and Head & Neck Surgery,https://www.shardahospital.org/speciality/ent-and-head-neck-surgery
Radio Diagnosis,https://www.shardahospital.org/speciality/department-of-radio-diagnosis
Gynaecology & Obstetrics,https://www.shardahospital.org/speciality/gynaecology-obstetrics
Physiotherapy,https://www.shardahospital.org/speciality/physiotherapy
Laparoscopic Surgery,https://www.shardahospital.org/speciality/laparoscopic-surgery
Internal Medicine,https://www.shardahospital.org/speciality/internal-medicine
Respiratory Medicine and Tuberculosis,https://www.shardahospital.org/speciality/respiratory-medicine-tuberculosis
Ophthalmology,https://www.shardahospital.org/speciality/ophthalmology
"Dermatology, Venereology & Leprosy",https://www.shardahospital.org/speciality/dermatology-venereology-leprosy
Nutrition & Dietetics,https://www.shardahospital.org/speciality/nutrition-dietetics
Pulmonology,https://www.shardahospital.org/speciality/pulmonology
